doc_id,name,address,phone,website,services,population,eligibility,intake,hours,capacity,cost,contact_email,notes
"mh-dfw-0001","Metrocare Services – Samuell Adult Mental Health Clinic","4645 Samuell Blvd, Dallas, TX 75228","214-275-7393","https://www.metrocareservices.org","Adult outpatient mental health clinic providing psychiatric evaluation, medication management, counseling, and case management.","Adults with mental health needs in Dallas County, including serious mental illness.","Primarily serves Dallas County residents; accepts Medicaid and public funding; options for uninsured through county programs.","Call clinic or Metrocare intake line for screening and appointment; referrals accepted from hospitals and providers.","Weekday business hours; see website for current schedule.","","Publicly funded safety-net care; most services low or no cost for eligible clients.","","Local Mental Health Authority (LMHA) for Dallas County; one of Metrocare’s main adult clinics."
"mh-dfw-0002","MHMR of Tarrant County – Behavioral Health Services","3840 Hulen St, Fort Worth, TX 76107","817-569-4300","https://www.mhmrtarrant.org","Community mental health center offering psychiatric care, individual and group therapy, substance use treatment, and 24/7 crisis services.","Children, adolescents, and adults in Tarrant County with mental health or substance use needs.","Primarily serves Tarrant County residents; accepts Medicaid and other public funding; uninsured may qualify for county-funded services.","Call the MHMR intake line or 24/7 crisis line for screening and referral to outpatient services.","Office open weekdays; crisis line and some crisis services available 24/7.","","Publicly funded care; low/no cost for eligible individuals.","","Local Mental Health Authority for Tarrant County; key access point for county-funded therapy and psychiatry."
"mh-dfw-0003","LifePath Systems – Behavioral Health Services (Plano)","7308 Alma Dr, Plano, TX 75025","972-422-5939","https://www.lifepathsystems.org","Outpatient mental health services including psychiatric evaluation, medication management, counseling, and crisis services.","Adults, children, and families in Collin County with mental health needs.","Primarily serves Collin County residents; accepts Medicaid and some other insurance; county funding for eligible uninsured/low-income clients.","Call main number for screening and to schedule an intake; referrals accepted from hospitals, schools, and community agencies.","Weekday business hours; some programs may offer extended hours – see website.","","Public mental health provider; many services low/no cost depending on funding and eligibility.","","LifePath is the Local Mental Health Authority for Collin County and provides safety-net behavioral health care."
"mh-dfw-0004","Jewish Family Service of Greater Dallas – Counseling Services","5402 Arapaho Rd, Dallas, TX 75248","972-437-9950","https://jfsdallas.org","Individual, couples, and family counseling; psychiatric services; support groups; specialized programs for trauma, grief, and family relationships.","Children, teens, and adults of all backgrounds (services are non-sectarian).","Serves anyone regardless of religion; accepts some insurance and offers sliding-scale fees based on income.","Call main number to complete intake and be matched with a therapist or psychiatrist.","Weekday office hours; some evening appointments available – see website.","","Nonprofit counseling center with sliding-scale and reduced-fee options; some grant-funded services may be low-cost or free.","","Well-established nonprofit providing culturally sensitive counseling, case management, and psychiatric care."
"mh-dfw-0005","Child & Family Guidance Center – Dallas","8915 Harry Hines Blvd, Dallas, TX 75235","214-351-3490","https://www.childrenandfamilies.org","Trauma-informed counseling, psychiatric evaluation and medication management, play therapy, family therapy, and integrated behavioral health.","Children, adolescents, and adults with emphasis on underserved families and trauma survivors.","Serves North Texas residents; accepts Medicaid/CHIP and many commercial plans; offers sliding-scale or reduced fees for eligible low-income/uninsured clients.","Call intake line to complete screening for child, teen, or adult services and schedule an appointment.","Weekday clinic hours; some evening availability depending on location and program.","","Community mental health center and Certified Community Behavioral Health Clinic (CCBHC); many services available at reduced cost.","","Strong focus on childhood trauma, family systems, and long-term outpatient counseling and psychiatry."
"mh-dfw-0006","UT Southwestern – Multispecialty Psychiatry Clinic (Adult)","6363 Forest Park Rd, 8th Floor, Dallas, TX 75390","214-645-8500","https://utswmed.org/conditions-treatments/psychiatry/","Academic medical center clinic providing psychiatric evaluation, medication management, and psychotherapy for mood, anxiety, psychotic, and other disorders.","Adults needing specialty psychiatry or combined medication and psychotherapy in the DFW area.","Accepts many commercial insurance plans, Medicare, and some managed Medicaid products; self-pay and financial assistance options through UT Southwestern.","Call clinic to request a new patient appointment; referrals from primary care or other providers often helpful for triage.","Weekday daytime hours; some clinicians may offer limited evening hours – see website.","","Hospital-based specialty clinic; standard medical billing with UT Southwestern financial assistance options.","","Good fit for complex or treatment-resistant conditions that may benefit from academic medical center expertise."
"mh-dfw-0007","UT Southwestern – Center for Depression Research and Clinical Care (CDRC)","6363 Forest Park Rd, Dallas, TX 75390","214-645-0956","https://utswmed.org/departments/center-depression-research-clinical-care/","Specialized evaluation and treatment programs for depression, bipolar disorder, and related mood disorders; integrates evidence-based psychotherapy, medication, and research opportunities.","Adolescents and adults with moderate to severe depression, bipolar disorder, or treatment-resistant mood disorders.","Patients typically need to meet diagnostic criteria for mood disorders; insurance coverage varies by clinic program; some services associated with research studies may have different costs/requirements.","Call CDRC to inquire about current clinical programs and research options and to complete a screening call.","Weekday clinic hours; schedule varies by program and research study.","","Standard academic medical center billing for clinical services; some research participation may reduce cost for specific interventions.","","Highly specialized mood-disorders program; good option for complex depression/bipolar cases and those interested in research-based care."
"mh-dfw-0008","Dallas CBT","3500 Oak Lawn Ave, Suite 230, Dallas, TX 75219","214-305-2110","https://dallascbt.com","Outpatient therapy and assessment clinic specializing in cognitive behavioral therapy (CBT), exposure therapies, EMDR, and psychological testing for ADHD and related concerns.","Children, teens, adults, and couples seeking evidence-based treatment for anxiety, OCD, trauma, depression, and related issues.","Primarily serves private-pay and insured clients in DFW; accepts some insurance plans and provides documentation for out-of-network reimbursement.","Call office or use website contact form to request an appointment and therapist match.","Typical office hours Mon–Fri with some evening appointments by arrangement – see website.","","Private group practice; session-based fees; check website or call for insurance and out-of-network details.","","Strong CBT/EMDR focus; good fit for anxiety, OCD, trauma, and clients wanting structured, skills-based therapy."
"mh-dfw-0009","The Center for Integrative Counseling and Psychology","4305 MacArthur Ave, Dallas, TX 75209","214-526-4525","https://thecentercounseling.org","Individual, couples, and family counseling; psychological testing; school-based and church-based counseling through partnerships; workshops and support groups.","Children, teens, adults, and older adults across DFW, including underserved communities reached via satellite sites.","Nonprofit; accepts many insurance plans and employee assistance programs (EAPs); also offers reduced-fee counseling through sliding scale and community partnerships.","Call central office or use online form; clients are matched with a counselor at the main office or a partner site (schools, churches, community centers).","Weekday business hours; some evening and off-site hours depending on counselor and location.","","Sliding-scale and low-cost options available; mission is to make counseling accessible regardless of ability to pay.","info@thecentercounseling.org","Multi-site nonprofit counseling center serving Dallas, Collin, Tarrant, and surrounding counties with a large therapist network."
"mh-dfw-0010","Dallas Therapy Collective","8140 Walnut Hill Ln, Suite 440, Dallas, TX 75231","469-709-9250","https://dallastherapycollective.com","Group practice providing trauma-informed individual and couples therapy with specializations in LGBTQ+-affirming care, gender-affirming care, EMDR, religious trauma, anxiety, and depression.","Teens (13+) and adults, with particular focus on LGBTQ+ clients, trauma survivors, and people with marginalized identities.","Private practice; accepts some insurance (varies by therapist) and self-pay; some clinicians offer superbills for out-of-network reimbursement.","Use website to contact a specific therapist or submit a general inquiry; phone number available for scheduling assistance.","Weekday office hours; many clinicians offer evening or telehealth appointments – see individual therapist pages.","","Private group practice; fees vary by clinician; some offer limited sliding-scale spots.","","Progressive, intersectional, LGBTQ+-affirming practice; strong fit for clients seeking trauma-informed and identity-affirming care."
