doc_id,name,address,phone,website,services,population,eligibility,intake,hours,capacity,cost,contact_email,notes
dfw-0001,Parkland Memorial Hospital,"5200 Harry Hines Blvd, Dallas, TX 75235",214-590-8000,https://www.parklandhealth.org,"Safety-net hospital, emergency care, inpatient and outpatient services, specialty clinics","Dallas County residents, uninsured and underinsured individuals, general public","Dallas County residents; accepts Medicaid/Medicare, commercial insurance, and uninsured on financial assistance/sliding scale",Call main line or request appointment online; ER is walk-in 24/7,Hospital: 24/7 emergency; clinics vary by department,,Financial assistance and charity care programs available; cost varies by insurance/eligibility,,Primary safety-net hospital for Dallas County; anchor for many county health programs
dfw-0002,Dallas County Health & Human Services – Stemmons Public Health Clinic,"2377 N Stemmons Fwy, Dallas, TX 75207",214-819-2000,https://www.dallascounty.org/departments/dchhs/,"Public health clinic, immunizations, STI testing, TB screening, travel vaccines, health education","Children, adults, Dallas County residents, especially uninsured and underinsured",Some services limited to Dallas County residents; bring ID and immunization record; VFC rules for children’s vaccines,Walk-in or call for appointment depending on service; check website for specific program instructions,Mon–Fri typical business hours (exact hours vary by service),,Low-cost or reduced-cost public health services; some fees may be waived or reduced,,Core county public health clinic site; also coordinates with satellite immunization clinics in Garland and other locations
dfw-0003,The Agape Clinic,"4104 Junius St, Dallas, TX 75246",972-707-7782,https://www.theagapeclinic.org,"Primary care, pediatrics, women’s health, chronic disease care, behavioral health, dental, vaccinations","Uninsured and underinsured individuals and families, all ages",No insurance required; no income verification; patients encouraged but not required to make a donation,Call clinic to schedule an appointment; limited walk-in availability depending on provider schedules,Mon–Fri roughly 7:00am–3:00pm; some evening and Saturday specialty clinics,,Donation-based care; many services at no charge for patients,info@theagapeclinic.org,Long-standing free/charity clinic in East Dallas; many UT Southwestern student-run specialty clinics operate here
dfw-0004,Los Barrios Unidos Community Clinic – West Dallas,"809 Singleton Blvd, Dallas, TX 75212",214-540-0300,https://lbucommunityclinic.org,"Family medicine, women’s health, pediatrics, dentistry, behavioral health, WIC, pharmacy","Low-income families, uninsured and underinsured residents of Dallas County and surrounding areas","Accepts Medicaid, Medicare, many private insurances, and offers sliding-fee scale for eligible uninsured patients",Call clinic for appointment; limited same-day and urgent visits may be available,Mon–Fri 7:00am–6:00pm,,Sliding scale based on income; accepts most public insurance plans,info@lbucc.org,Federally Qualified Health Center (FQHC) providing comprehensive primary care and support services
dfw-0005,Foremost Family Health Centers – MLK Family Clinic,"2922-B Martin Luther King Jr Blvd, Dallas, TX 75215",214-426-3645,https://foremostfhc.org,"Primary care, women’s health, pediatrics, dental, behavioral health, chronic disease management","Low-income individuals and families, South Dallas residents, uninsured and underinsured","Accepts Medicaid/Medicare, CHIP, many commercial plans, and sliding-fee scale for uninsured based on income",Call to register and schedule an appointment; some same-day sick visits may be available,Mon–Fri 8:00am–5:00pm (some extended evening hours certain days),,Sliding-scale fees; no one turned away for inability to pay when eligibility criteria are met,,Community health center serving historically underserved neighborhoods in South Dallas
dfw-0006,HHM Health – Vickery Health Center,"5750 Pineland Dr, Dallas, TX 75231",214-221-0855,https://www.hhmhealth.org,"Family medicine, women’s health, pediatrics, behavioral health, dental, vision, nutrition services","Refugees, immigrants, low-income families, uninsured and underinsured residents of Dallas","Accepts Medicaid/Medicare, many commercial plans, and sliding-fee scale for uninsured patients",New patients enroll in person at enrollment office; existing patients call clinic or request appointment online,Mon–Fri 8:00am–5:00pm,,Sliding-fee scale; offers assistance programs for labs and certain medications,,Faith-based community health center focusing on the Vickery Meadow and surrounding neighborhoods
dfw-0007,Metrocare Services – Adult & Family Mental Health (Samuell Clinic),"4645 Samuell Blvd, Dallas, TX 75228",214-743-1200,https://www.metrocareservices.org,"Adult and family mental health, psychiatric evaluation, counseling, case management, crisis services connection","Adults and families in Dallas County with mental health needs, including serious and persistent mental illness",Primarily serves Dallas County residents; accepts Medicaid and other funding sources; some services for uninsured via county funding,Call main number or mental health intake line to complete screening and schedule appointment; referrals from hospitals and providers accepted,Mon–Fri standard business hours; crisis line available 24/7,,Most services publicly funded; minimal or no cost for eligible individuals,,Largest provider of public mental health services in Dallas County; multiple satellite clinics county-wide
dfw-0008,Los Barrios Unidos Community Clinic – South Oak Cliff,"5787 S Hampton Rd, Suite 365, Dallas, TX 75232",214-540-0300,https://lbucommunityclinic.org,"Primary care, pediatrics, women’s health, immunizations, chronic disease management",Low-income families and individuals in Southern Dallas and nearby communities,Accepts Medicaid/Medicare and offers sliding-fee scale for uninsured; proof of income used to determine discount level,Call to schedule an appointment; some limited same-day visits for established patients,Mon–Fri day-time hours (typically 8:00am–5:00pm),,Sliding-fee scale; some services may have nominal copays,info@lbucc.org,Satellite FQHC site extending LBU services into South Oak Cliff area
dfw-0009,Dallas County Public Health – Garland Immunization Clinic,"206 Carver St, Garland, TX 75040",972-205-3370,https://www.dallascounty.org/departments/dchhs/clinical-services/immunization-clinics.php,"Childhood and adult immunizations, TB testing, limited public health nursing services","Residents of Garland, Rowlett, Sachse and other Dallas County communities needing vaccinations","Serves children and some adults; certain programs limited to specific ages or eligibility (e.g., VFC for children)",Walk-in immunization clinic; bring immunization record and ID; some services may require appointment,"Mon, Tue, Thu, Fri 7:30am–5:30pm (closed Wednesdays; schedules may vary during special events)",,Low-cost per-visit immunization fee; no child denied vaccines if VFC-eligible and unable to pay,,Key immunization site for northeast Dallas County; often used for back-to-school vaccinations
dfw-0010,HHM Health – Mesquite Clinic,"1320 N Galloway Ave, Mesquite, TX 75149",972-818-6215,https://www.hhmhealth.org/mesquite-tx/,"Family medicine, women’s health, pediatrics, dental, vision, behavioral health, nutrition","Low-income and uninsured residents of Mesquite, East Dallas County, and surrounding areas","Accepts Medicaid/Medicare, CHIP, many commercial plans; sliding-fee scale for uninsured based on income and family size",Call clinic to schedule an appointment; some same-day and telehealth visits available,Mon–Fri 8:00am–5:00pm,,Sliding-fee scale and assistance programs available for eligible patients,,Expands HHM Health’s integrated primary care model into Mesquite and eastern Dallas County
